Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Torque_1,Torque_2,Torque_3,Torque_4,Torque_5,Torque_6
-30.0,-30.0,0.0,0.0,30.0,0.0,2109935332939071.2,-0.0419010015747015,0.027683227748726905,-0.036382896698817536,0.042000951793675516,-0.1770678804353787
-30.0,-30.0,0.0,0.0,30.0,30.0,2109935332939071.2,-0.0419010015747015,0.02768322774872692,-0.036382896698817536,-0.10551229797751957,-0.03364364611715977
-30.0,-30.0,0.0,30.0,-30.0,-30.0,2109935332939090.5,-0.0419010015747015,0.02768322774872692,-29.248283507735458,0.15326653842272556,-0.0417805971932378
-30.0,-30.0,0.0,30.0,-30.0,0.0,2109935332939090.2,-0.04190100157470151,0.02768322774872692,-29.248283507735458,-0.0824853181498979,0.16158296406555908
-30.0,-30.0,0.0,30.0,-30.0,30.0,2109935332939091.0,-0.0419010015747015,0.027683227748726905,-29.24828350773548,0.0030302322987088627,0.09162941016172965
-30.0,-30.0,0.0,30.0,0.0,-30.0,2109935332939090.2,-0.0419010015747015,0.02768322774872692,-32.32990675115124,-2.282038675831361,-0.2034434868948582
-30.0,-30.0,0.0,30.0,0.0,0.0,2109935332939090.0,-0.0419010015747015,0.02768322774872692,-35.1495757986673,-10.555321123279167,24.617905268641216
-30.0,-30.0,0.0,30.0,0.0,30.0,2109935332939090.0,-0.041901001574701516,0.02768322774872689,-32.32990675115124,-2.6206895203322973,0.18795857052503856
-30.0,-30.0,0.0,30.0,30.0,-30.0,2109935332939090.0,-0.041901001574701516,0.02768322774872692,-24.551361480672732,0.4832738889387523,-0.02098230845419738
-30.0,-30.0,0.0,30.0,30.0,0.0,2109935332939090.2,-0.0419010015747015,0.02768322774872692,-24.55136148067274,0.676548677294115,-0.1770678804353787
-30.0,-30.0,0.0,30.0,30.0,30.0,2109935332939090.2,-0.0419010015747015,0.027683227748726905,-24.551361480672774,0.52903542752292,-0.03364364611715977
-30.0,-30.0,30.0,-30.0,-30.0,-30.0,2109935332939090.8,0.287208198268301,4.030927459563454,25.11523845628592,0.15326653842272558,-0.0417805971932378
-30.0,-30.0,30.0,-30.0,-30.0,0.0,2109935332939090.5,0.287208198268301,4.030927459563454,25.115238456285926,-0.08248531814989789,0.16158296406555905
-30.0,-30.0,30.0,-30.0,-30.0,30.0,2109935332939090.8,0.2872081982683019,4.0309274595634506,25.11523845628591,0.0030302322987088605,0.09162941016172967
-30.0,-30.0,30.0,-30.0,0.0,-30.0,2109935332939090.8,0.287208198268301,4.030927459563459,25.11523845628592,0.006459264604937096,-0.2034434868948582
-30.0,-30.0,30.0,-30.0,0.0,0.0,2109935332939090.5,0.287208198268301,4.030927459563445,25.115238456285926,-0.13122847916738123,-0.05019374657776245
-30.0,-30.0,30.0,-30.0,0.0,30.0,2109935332939090.2,0.287208198268301,4.030927459563447,25.115238456285926,-0.3321915798960006,0.18795857052503853
-30.0,-30.0,30.0,-30.0,30.0,-30.0,2109935332939090.5,0.287208198268301,4.030927459563459,25.115238456285926,-0.1512738365616873,-0.020982308454197393
-30.0,-30.0,30.0,-30.0,30.0,0.0,2109935332939090.8,0.287208198268301,4.030927459563454,25.115238456285926,0.04200095179367551,-0.1770678804353787
-30.0,-30.0,30.0,-30.0,30.0,30.0,2109935332939090.5,0.287208198268301,4.030927459563454,25.115238456285898,-0.10551229797751957,-0.03364364611715977
-30.0,-30.0,30.0,0.0,-30.0,-30.0,2109935332939072.0,-0.7060905367531521,-10.232682167840172,-0.0363828966988171,0.15326653842272558,-0.0417805971932378
-30.0,-30.0,30.0,0.0,-30.0,0.0,2109935332939072.0,-0.7060905367531521,-10.23268216784017,-0.0363828966988171,-0.08248531814989789,0.16158296406555908
-30.0,-30.0,30.0,0.0,-30.0,30.0,2109935332939072.0,-0.7060905367531521,-10.232682167840172,-0.03638289669881754,0.0030302322987088622,0.09162941016172965
